Date,Flow (m³/s)
2023-01-01,98.9
2023-02-01,52.3
2023-03-01,53.2
2023-04-01,88.2
2023-05-01,149.0
2023-06-01,101.0
2023-07-01,62.8
2023-08-01,97.7
2023-09-01,228.0
2023-10-01,78.7
2023-11-01,75.3
2023-12-01,250.0
2023-01-02,96.0
2023-02-02,43.8
2023-03-02,53.3
2023-04-02,95.3
2023-05-02,149.0
2023-06-02,101.0
2023-07-02,62.6
2023-08-02,104.0
2023-09-02,198.0
2023-10-02,72.4
2023-11-02,74.0
2023-12-02,235.0
2023-01-03,86.1
2023-02-03,43.3
2023-03-03,53.0
2023-04-03,96.1
2023-05-03,146.0
2023-06-03,101.0
2023-07-03,60.8
2023-08-03,99.6
2023-09-03,146.0
2023-10-03,70.3
2023-11-03,80.2
2023-12-03,208.0
2023-01-04,86.0
2023-02-04,43.4
2023-03-04,52.9
2023-04-04,90.5
2023-05-04,144.0
2023-06-04,97.1
2023-07-04,52.1
2023-08-04,93.9
2023-09-04,122.0
2023-10-04,55.0
2023-11-04,88.1
2023-12-04,158.0
2023-01-05,85.5
2023-02-05,45.1
2023-03-05,53.0
2023-04-05,83.2
2023-05-05,124.0
2023-06-05,91.4
2023-07-05,52.3
2023-08-05,167.0
2023-09-05,122.0
2023-10-05,52.5
2023-11-05,103.0
2023-12-05,131.0
2023-01-06,85.5
2023-02-06,43.6
2023-03-06,52.9
2023-04-06,78.7
2023-05-06,124.0
2023-06-06,91.5
2023-07-06,52.2
2023-08-06,165.0
2023-09-06,106.0
2023-10-06,52.7
2023-11-06,80.9
2023-12-06,128.0
2023-01-07,84.8
2023-02-07,51.5
2023-03-07,53.2
2023-04-07,69.2
2023-05-07,129.0
2023-06-07,85.1
2023-07-07,52.0
2023-08-07,167.0
2023-09-07,102.0
2023-10-07,52.5
2023-11-07,74.4
2023-12-07,128.0
2023-01-08,77.3
2023-02-08,53.5
2023-03-08,53.2
2023-04-08,62.8
2023-05-08,197.0
2023-06-08,91.6
2023-07-08,52.2
2023-08-08,158.0
2023-09-08,102.0
2023-10-08,52.2
2023-11-08,82.5
2023-12-08,127.0
2023-01-09,84.7
2023-02-09,53.6
2023-03-09,60.2
2023-04-09,54.7
2023-05-09,180.0
2023-06-09,92.2
2023-07-09,52.2
2023-08-09,143.0
2023-09-09,102.0
2023-10-09,43.2
2023-11-09,76.8
2023-12-09,132.0
2023-01-10,88.9
2023-02-10,53.6
2023-03-10,64.3
2023-04-10,46.2
2023-05-10,241.0
2023-06-10,83.9
2023-07-10,47.6
2023-08-10,142.0
2023-09-10,93.7
2023-10-10,42.7
2023-11-10,68.9
2023-12-10,197.0
2023-01-11,87.0
2023-02-11,53.0
2023-03-11,76.8
2023-04-11,45.3
2023-05-11,264.0
2023-06-11,76.0
2023-07-11,51.7
2023-08-11,127.0
2023-09-11,92.7
2023-10-11,42.5
2023-11-11,74.0
2023-12-11,238.0
2023-01-12,94.3
2023-02-12,48.3
2023-03-12,92.3
2023-04-12,58.3
2023-05-12,252.0
2023-06-12,71.8
2023-07-12,70.6
2023-08-12,121.0
2023-09-12,85.7
2023-10-12,42.4
2023-11-12,81.4
2023-12-12,298.0
2023-01-13,87.9
2023-02-13,43.4
2023-03-13,106.0
2023-04-13,74.7
2023-05-13,245.0
2023-06-13,71.8
2023-07-13,108.0
2023-08-13,102.0
2023-09-13,82.9
2023-10-13,42.5
2023-11-13,118.0
2023-12-13,309.0
2023-01-14,87.5
2023-02-14,43.2
2023-03-14,151.0
2023-04-14,85.6
2023-05-14,228.0
2023-06-14,71.9
2023-07-14,89.4
2023-08-14,92.9
2023-09-14,83.0
2023-10-14,42.1
2023-11-14,223.0
2023-12-14,268.0
2023-01-15,83.2
2023-02-15,51.0
2023-03-15,134.0
2023-04-15,76.6
2023-05-15,222.0
2023-06-15,64.1
2023-07-15,73.0
2023-08-15,92.0
2023-09-15,82.6
2023-10-15,41.1
2023-11-15,284.0
2023-12-15,265.0
2023-01-16,87.3
2023-02-16,80.3
2023-03-16,110.0
2023-04-16,89.9
2023-05-16,238.0
2023-06-16,62.2
2023-07-16,58.5
2023-08-16,92.1
2023-09-16,82.2
2023-10-16,40.8
2023-11-16,242.0
2023-12-16,248.0
2023-01-17,86.2
2023-02-17,68.1
2023-03-17,97.4
2023-04-17,135.0
2023-05-17,274.0
2023-06-17,62.5
2023-07-17,61.8
2023-08-17,91.9
2023-09-17,73.2
2023-10-17,40.9
2023-11-17,233.0
2023-12-17,235.0
2023-01-18,81.5
2023-02-18,51.6
2023-03-18,90.8
2023-04-18,114.0
2023-05-18,235.0
2023-06-18,62.3
2023-07-18,52.9
2023-08-18,82.9
2023-09-18,67.0
2023-10-18,40.9
2023-11-18,231.0
2023-12-18,221.0
2023-01-19,74.8
2023-02-19,44.9
2023-03-19,84.4
2023-04-19,91.9
2023-05-19,209.0
2023-06-19,59.0
2023-07-19,61.5
2023-08-19,81.6
2023-09-19,72.6
2023-10-19,40.6
2023-11-19,234.0
2023-12-19,191.0
2023-01-20,74.4
2023-02-20,43.7
2023-03-20,88.2
2023-04-20,76.4
2023-05-20,175.0
2023-06-20,68.3
2023-07-20,54.4
2023-08-20,75.4
2023-09-20,72.5
2023-10-20,40.8
2023-11-20,224.0
2023-12-20,171.0
2023-01-21,74.5
2023-02-21,42.9
2023-03-21,92.9
2023-04-21,87.3
2023-05-21,154.0
2023-06-21,62.3
2023-07-21,62.6
2023-08-21,71.8
2023-09-21,66.9
2023-10-21,42.6
2023-11-21,212.0
2023-12-21,162.0
2023-01-22,74.5
2023-02-22,42.9
2023-03-22,89.9
2023-04-22,80.2
2023-05-22,143.0
2023-06-22,62.1
2023-07-22,71.0
2023-08-22,71.8
2023-09-22,72.2
2023-10-22,42.5
2023-11-22,217.0
2023-12-22,154.0
2023-01-23,74.1
2023-02-23,43.1
2023-03-23,82.9
2023-04-23,67.2
2023-05-23,143.0
2023-06-23,66.2
2023-07-23,55.3
2023-08-23,71.8
2023-09-23,88.5
2023-10-23,40.7
2023-11-23,202.0
2023-12-23,157.0
2023-01-24,74.0
2023-02-24,42.9
2023-03-24,76.6
2023-04-24,81.0
2023-05-24,133.0
2023-06-24,72.0
2023-07-24,49.4
2023-08-24,75.3
2023-09-24,93.9
2023-10-24,41.0
2023-11-24,167.0
2023-12-24,169.0
2023-01-25,74.0
2023-02-25,56.4
2023-03-25,98.3
2023-04-25,87.9
2023-05-25,134.0
2023-06-25,64.7
2023-07-25,79.4
2023-08-25,81.8
2023-09-25,92.8
2023-10-25,41.2
2023-11-25,150.0
2023-12-25,144.0
2023-01-26,74.0
2023-02-26,57.9
2023-03-26,97.8
2023-04-26,98.4
2023-05-26,142.0
2023-06-26,55.6
2023-07-26,125.0
2023-08-26,82.1
2023-09-26,92.7
2023-10-26,45.4
2023-11-26,148.0
2023-12-26,126.0
2023-01-27,73.5
2023-02-27,54.3
2023-03-27,111.0
2023-04-27,95.3
2023-05-27,134.0
2023-06-27,52.3
2023-07-27,122.0
2023-08-27,85.2
2023-09-27,92.5
2023-10-27,81.5
2023-11-27,146.0
2023-12-27,105.0
2023-01-28,66.0
2023-02-28,53.3
2023-03-28,108.0
2023-04-28,103.0
2023-05-28,122.0
2023-06-28,52.3
2023-07-28,99.8
2023-08-28,205.0
2023-09-28,92.5
2023-10-28,104.0
2023-11-28,154.0
2023-12-28,105.0
2023-01-29,62.8
2023-03-29,105.0
2023-04-29,187.0
2023-05-29,110.0
2023-06-29,52.9
2023-07-29,96.6
2023-08-29,294.0
2023-09-29,92.5
2023-10-29,87.6
2023-11-29,151.0
2023-12-29,104.0
2023-01-30,54.0
2023-03-30,99.0
2023-04-30,161.0
2023-05-30,101.0
2023-06-30,62.0
2023-07-30,104.0
2023-08-30,255.0
2023-09-30,86.3
2023-10-30,67.1
2023-11-30,166.0
2023-12-30,101.0
2023-01-31,53.6
2023-03-31,97.9
2023-05-31,101.0
2023-07-31,104.0
2023-08-31,240.0
2023-10-31,75.7
2023-12-31,92.0
