Date,Flow (m³/s)
2022-01-19,62.2
2022-02-19,101.0
2022-03-19,43.0
2022-04-19,73.9
2022-05-19,93.7
2022-06-19,83.3
2022-07-19,41.4
2022-08-19,70.8
2022-09-19,106.0
2022-10-19,73.2
2022-11-19,53.3
2022-12-19,53.9
2022-01-20,53.3
2022-02-20,91.4
2022-03-20,42.1
2022-04-20,66.1
2022-05-20,93.8
2022-06-20,74.3
2022-07-20,41.9
2022-08-20,78.2
2022-09-20,103.0
2022-10-20,73.1
2022-11-20,48.9
2022-12-20,54.2
2022-01-21,53.1
2022-02-21,88.6
2022-03-21,41.9
2022-04-21,63.4
2022-05-21,93.8
2022-06-21,63.0
2022-07-21,41.6
2022-08-21,101.0
2022-09-21,93.5
2022-10-21,73.5
2022-11-21,48.4
2022-12-21,54.3
2022-01-22,53.2
2022-02-22,89.7
2022-03-22,41.8
2022-04-22,63.2
2022-05-22,93.8
2022-06-22,74.1
2022-07-22,41.4
2022-08-22,103.0
2022-09-22,93.6
2022-10-22,75.1
2022-11-22,51.0
2022-12-22,52.2
2022-01-23,53.1
2022-02-23,88.3
2022-03-23,41.9
2022-04-23,63.1
2022-05-23,88.3
2022-06-23,98.7
2022-07-23,42.1
2022-08-23,96.1
2022-09-23,93.3
2022-10-23,74.5
2022-11-23,50.9
2022-12-23,50.5
2022-01-24,53.2
2022-02-24,90.0
2022-03-24,41.9
2022-04-24,64.0
2022-05-24,92.8
2022-06-24,102.0
2022-07-24,41.4
2022-08-24,89.9
2022-09-24,86.5
2022-10-24,71.3
2022-11-24,51.8
2022-12-24,105.0
2022-01-25,53.3
2022-02-25,86.6
2022-03-25,41.9
2022-04-25,100.0
2022-05-25,85.2
2022-06-25,105.0
2022-07-25,41.3
2022-08-25,82.2
2022-09-25,83.3
2022-10-25,64.7
2022-11-25,60.1
2022-12-25,97.6
2022-01-26,61.6
2022-02-26,86.3
2022-03-26,41.9
2022-04-26,109.0
2022-05-26,167.0
2022-06-26,80.2
2022-07-26,42.0
2022-08-26,75.3
2022-09-26,84.7
2022-10-26,63.5
2022-11-26,61.4
2022-12-26,96.6
2022-01-27,63.3
2022-02-27,85.1
2022-03-27,41.8
2022-04-27,97.9
2022-05-27,139.0
2022-06-27,66.8
2022-07-27,41.2
2022-08-27,83.7
2022-09-27,85.5
2022-10-27,63.2
2022-11-27,59.8
2022-12-27,117.0
2022-01-28,63.7
2022-02-28,75.2
2022-03-28,41.8
2022-04-28,82.2
2022-05-28,109.0
2022-06-28,73.7
2022-07-28,41.0
2022-08-28,80.8
2022-09-28,153.0
2022-10-28,63.3
2022-11-28,58.8
2022-12-28,113.0
2022-01-29,61.0
2022-03-29,41.7
2022-04-29,73.1
2022-05-29,91.6
2022-06-29,73.7
2022-07-29,41.3
2022-08-29,81.7
2022-09-29,246.0
2022-10-29,63.2
2022-11-29,58.4
2022-12-29,109.0
2022-01-30,52.8
2022-03-30,44.8
2022-04-30,68.1
2022-05-30,78.1
2022-06-30,74.1
2022-07-30,41.1
2022-08-30,71.6
2022-09-30,173.0
2022-10-30,63.0
2022-11-30,59.7
2022-12-30,113.0
2022-01-31,53.7
2022-03-31,52.8
2022-05-31,80.5
2022-07-31,41.0
2022-08-31,67.6
2022-10-31,63.3
2022-12-31,111.0
