Date,Flow (m³/s)
2022-01-01,127.0
2022-02-01,53.9
2022-03-01,73.5
2022-04-01,63.4
2022-05-01,70.9
2022-06-01,73.1
2022-07-01,125.0
2022-08-01,40.9
2022-09-01,74.8
2022-10-01,129.0
2022-11-01,63.2
2022-12-01,60.6
2022-01-02,109.0
2022-02-02,62.7
2022-03-02,64.3
2022-04-02,75.1
2022-05-02,64.0
2022-06-02,73.0
2022-07-02,136.0
2022-08-02,40.9
2022-09-02,72.5
2022-10-02,208.0
2022-11-02,62.8
2022-12-02,58.8
2022-01-03,99.0
2022-02-03,89.3
2022-03-03,63.6
2022-04-03,74.2
2022-05-03,63.7
2022-06-03,74.4
2022-07-03,97.3
2022-08-03,40.9
2022-09-03,69.5
2022-10-03,218.0
2022-11-03,63.1
2022-12-03,59.0
2022-01-04,98.1
2022-02-04,79.9
2022-03-04,55.5
2022-04-04,68.6
2022-05-04,63.4
2022-06-04,85.1
2022-07-04,85.2
2022-08-04,40.8
2022-09-04,62.7
2022-10-04,212.0
2022-11-04,62.7
2022-12-04,58.7
2022-01-05,112.0
2022-02-05,78.3
2022-03-05,52.9
2022-04-05,64.5
2022-05-05,65.3
2022-06-05,78.4
2022-07-05,106.0
2022-08-05,41.1
2022-09-05,54.8
2022-10-05,176.0
2022-11-05,52.8
2022-12-05,58.6
2022-01-06,110.0
2022-02-06,76.7
2022-03-06,49.4
2022-04-06,69.4
2022-05-06,85.0
2022-06-06,83.8
2022-07-06,89.5
2022-08-06,41.4
2022-09-06,52.5
2022-10-06,158.0
2022-11-06,53.5
2022-12-06,58.7
2022-01-07,107.0
2022-02-07,71.5
2022-03-07,42.4
2022-04-07,77.8
2022-05-07,86.1
2022-06-07,96.9
2022-07-07,76.2
2022-08-07,41.4
2022-09-07,53.4
2022-10-07,139.0
2022-11-07,52.7
2022-12-07,58.7
2022-01-08,107.0
2022-02-08,67.0
2022-03-08,42.3
2022-04-08,72.0
2022-05-08,85.3
2022-06-08,147.0
2022-07-08,73.1
2022-08-08,41.4
2022-09-08,80.9
2022-10-08,125.0
2022-11-08,52.7
2022-12-08,58.5
2022-01-09,97.8
2022-02-09,65.2
2022-03-09,42.3
2022-04-09,74.7
2022-05-09,75.8
2022-06-09,127.0
2022-07-09,70.4
2022-08-09,41.4
2022-09-09,75.5
2022-10-09,125.0
2022-11-09,50.7
2022-12-09,58.5
2022-01-10,96.3
2022-02-10,64.2
2022-03-10,42.1
2022-04-10,79.8
2022-05-10,74.2
2022-06-10,125.0
2022-07-10,62.4
2022-08-10,39.6
2022-09-10,71.9
2022-10-10,114.0
2022-11-10,48.1
2022-12-10,59.0
2022-01-11,94.0
2022-02-11,73.2
2022-03-11,42.0
2022-04-11,78.2
2022-05-11,73.7
2022-06-11,104.0
2022-07-11,53.3
2022-08-11,36.0
2022-09-11,62.7
2022-10-11,93.9
2022-11-11,47.9
2022-12-11,58.9
2022-01-12,83.9
2022-02-12,87.5
2022-03-12,41.8
2022-04-12,77.3
2022-05-12,73.5
2022-06-12,101.0
2022-07-12,52.0
2022-08-12,35.8
2022-09-12,61.0
2022-10-12,93.8
2022-11-12,47.5
2022-12-12,62.8
2022-01-13,74.4
2022-02-13,80.8
2022-03-13,41.8
2022-04-13,76.5
2022-05-13,73.3
2022-06-13,88.6
2022-07-13,52.1
2022-08-13,35.8
2022-09-13,52.2
2022-10-13,94.0
2022-11-13,47.5
2022-12-13,64.0
2022-01-14,74.5
2022-02-14,74.5
2022-03-14,41.7
2022-04-14,66.6
2022-05-14,73.5
2022-06-14,93.7
2022-07-14,51.9
2022-08-14,36.0
2022-09-14,52.0
2022-10-14,95.4
2022-11-14,47.6
2022-12-14,63.7
2022-01-15,74.6
2022-02-15,75.1
2022-03-15,41.8
2022-04-15,73.7
2022-05-15,79.8
2022-06-15,85.2
2022-07-15,44.1
2022-08-15,36.1
2022-09-15,59.8
2022-10-15,97.7
2022-11-15,47.3
2022-12-15,61.3
2022-01-16,70.9
2022-02-16,75.3
2022-03-16,42.5
2022-04-16,73.7
2022-05-16,93.4
2022-06-16,88.2
2022-07-16,41.6
2022-08-16,37.5
2022-09-16,99.0
2022-10-16,95.2
2022-11-16,47.4
2022-12-16,53.7
2022-01-17,64.3
2022-02-17,88.4
2022-03-17,43.5
2022-04-17,71.5
2022-05-17,94.0
2022-06-17,84.9
2022-07-17,41.4
2022-08-17,35.8
2022-09-17,109.0
2022-10-17,88.5
2022-11-17,47.5
2022-12-17,53.3
2022-01-18,63.9
2022-02-18,81.3
2022-03-18,44.2
2022-04-18,74.5
2022-05-18,93.9
2022-06-18,83.2
2022-07-18,41.5
2022-08-18,36.0
2022-09-18,126.0
2022-10-18,73.8
2022-11-18,54.0
2022-12-18,53.3
