Datum,Typ,Zone,Standort,Kurzbezeichnung,Parameter,Parametergruppe,Einheit,Bestimmungsgrenze_Nachweisgrenze,Messwert,Höchstwert,CleanedName,lat,lon
2023-01-03,Reservoire,Hangzone,"Reservoir Strickhof, Einlauf Stollen in Kammer 2",R4622/02,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.4,,Reservoir Strickhof,,
2023-01-03,Reservoire,Hangzone,"Reservoir Strickhof, Einlauf Stollen in Kammer 2",R4622/02,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,81372.0,,Reservoir Strickhof,,
2023-01-03,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,Temperatur,Allgemeine Parameter,°C,,7.6,,Reservoir Strickhof,,
2023-01-03,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.9,,Reservoir Strickhof,,
2023-01-03,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,79944.0,,Reservoir Strickhof,,
2023-01-03,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,Temperatur,Allgemeine Parameter,°C,,8.0,,Reservoir Orelli,47.3833732,8.569329450000001
2023-01-03,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,10.0,,Reservoir Orelli,47.3833732,8.569329450000001
2023-01-03,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,100661.0,,Reservoir Orelli,47.3833732,8.569329450000001
2023-01-03,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,Temperatur,Allgemeine Parameter,°C,,8.0,,Reservoir Orelli,47.3833732,8.569329450000001
2023-01-03,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,9.4,,Reservoir Orelli,47.3833732,8.569329450000001
2023-01-03,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,99917.0,,Reservoir Orelli,47.3833732,8.569329450000001
2023-01-03,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,Temperatur,Allgemeine Parameter,°C,,7.4,,Reservoir Looren,47.369780649999996,8.58867465
2023-01-03,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,5.8,,Reservoir Looren,47.369780649999996,8.58867465
2023-01-03,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,79722.0,,Reservoir Looren,47.369780649999996,8.58867465
2023-01-03,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,Temperatur,Allgemeine Parameter,°C,,7.5,,Reservoir Looren,47.369780649999996,8.58867465
2023-01-03,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,5.3,,Reservoir Looren,47.369780649999996,8.58867465
2023-01-03,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,80056.0,,Reservoir Looren,47.369780649999996,8.58867465
2023-01-03,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,Temperatur,Allgemeine Parameter,°C,,7.3,,Reservoir Sonnenberg,,
2023-01-03,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.8,,Reservoir Sonnenberg,,
2023-01-03,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,78778.0,,Reservoir Sonnenberg,,
2023-01-03,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,Temperatur,Allgemeine Parameter,°C,,7.4,,Reservoir Sonnenberg,,
2023-01-03,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,5.0,,Reservoir Sonnenberg,,
2023-01-03,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,77517.0,,Reservoir Sonnenberg,,
2023-01-03,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 1",R5621/15,Temperatur,Allgemeine Parameter,°C,,8.3,,Reservoir Witikon,,
2023-01-03,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 1",R5621/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,7.9,,Reservoir Witikon,,
2023-01-03,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 1",R5621/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,88139.0,,Reservoir Witikon,,
2023-01-03,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 2",R5622/15,Temperatur,Allgemeine Parameter,°C,,8.1,,Reservoir Witikon,,
2023-01-03,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 2",R5622/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,12.9,,Reservoir Witikon,,
2023-01-03,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 2",R5622/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,100700.0,,Reservoir Witikon,,
2023-01-10,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 1",R2221/15,Temperatur,Allgemeine Parameter,°C,,8.4,,Reservoir Ris,47.323431,8.503036057497177
2023-01-10,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 1",R2221/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,7.1,,Reservoir Ris,47.323431,8.503036057497177
2023-01-10,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 1",R2221/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,64978.0,,Reservoir Ris,47.323431,8.503036057497177
2023-01-10,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 2",R2222/15,Temperatur,Allgemeine Parameter,°C,,8.3,,Reservoir Ris,47.323431,8.503036057497177
2023-01-10,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 2",R2222/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,6.5,,Reservoir Ris,47.323431,8.503036057497177
2023-01-10,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 2",R2222/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,58100.0,,Reservoir Ris,47.323431,8.503036057497177
2023-01-10,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 1",R2321/15,Temperatur,Allgemeine Parameter,°C,,8.3,,Reservoir Leimbach,47.325221799999994,8.507085680776362
2023-01-10,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 1",R2321/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.9,,Reservoir Leimbach,47.325221799999994,8.507085680776362
2023-01-10,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 1",R2321/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,38356.0,,Reservoir Leimbach,47.325221799999994,8.507085680776362
2023-01-10,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 2",R2322/15,Temperatur,Allgemeine Parameter,°C,,8.3,,Reservoir Leimbach,47.325221799999994,8.507085680776362
2023-01-10,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 2",R2322/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.7,,Reservoir Leimbach,47.325221799999994,8.507085680776362
2023-01-10,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 2",R2322/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,35678.0,,Reservoir Leimbach,47.325221799999994,8.507085680776362
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 2",R2522/15,Temperatur,Allgemeine Parameter,°C,,7.6,,Reservoir Frauental,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 2",R2522/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.6,,Reservoir Frauental,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 2",R2522/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,22961.0,,Reservoir Frauental,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 3",R2523/15,Temperatur,Allgemeine Parameter,°C,,7.7,,Reservoir Frauental,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 3",R2523/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.2,,Reservoir Frauental,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 3",R2523/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,22611.0,,Reservoir Frauental,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 4",R2524/15,Temperatur,Allgemeine Parameter,°C,,7.7,,Reservoir Frauental,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 4",R2524/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.3,,Reservoir Frauental,,
2023-01-10,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 4",R2524/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,17633.0,,Reservoir Frauental,,
2023-01-10,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 1",R2621/15,Temperatur,Allgemeine Parameter,°C,,8.1,,Reservoir Friesenberg,,
2023-01-10,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 1",R2621/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,5.7,,Reservoir Friesenberg,,
2023-01-10,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 1",R2621/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,38372.0,,Reservoir Friesenberg,,
2023-01-10,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 2",R2622/15,Temperatur,Allgemeine Parameter,°C,,8.1,,Reservoir Friesenberg,,
2023-01-10,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 2",R2622/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,6.6,,Reservoir Friesenberg,,
2023-01-10,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 2",R2622/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,39422.0,,Reservoir Friesenberg,,
2023-01-10,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 1",R2721/15,Temperatur,Allgemeine Parameter,°C,,8.8,,Reservoir Uetliberg,47.3499063,8.4909023
2023-01-10,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 1",R2721/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.7,,Reservoir Uetliberg,47.3499063,8.4909023
2023-01-10,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 1",R2721/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,39583.0,,Reservoir Uetliberg,47.3499063,8.4909023
2023-01-10,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 2",R2722/15,Temperatur,Allgemeine Parameter,°C,,8.8,,Reservoir Uetliberg,47.3499063,8.4909023
2023-01-10,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 2",R2722/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.4,,Reservoir Uetliberg,47.3499063,8.4909023
2023-01-10,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 2",R2722/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,39867.0,,Reservoir Uetliberg,47.3499063,8.4909023
