Datum,Typ,Zone,Standort,Kurzbezeichnung,Parameter,Parametergruppe,Einheit,Bestimmungsgrenze_Nachweisgrenze,Messwert,Höchstwert,CleanedName,lat,lon
2023-07-25,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 2",R2622/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,74883.0,,Reservoir Friesenberg,,
2023-07-25,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 1",R2721/15,Temperatur,Allgemeine Parameter,°C,,14.8,,Reservoir Uetliberg,47.3499063,8.4909023
2023-07-25,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 1",R2721/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.8,,Reservoir Uetliberg,47.3499063,8.4909023
2023-07-25,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 1",R2721/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,76072.0,,Reservoir Uetliberg,47.3499063,8.4909023
2023-07-25,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 2",R2722/15,Temperatur,Allgemeine Parameter,°C,,14.8,,Reservoir Uetliberg,47.3499063,8.4909023
2023-07-25,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 2",R2722/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.8,,Reservoir Uetliberg,47.3499063,8.4909023
2023-07-25,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 2",R2722/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,68389.0,,Reservoir Uetliberg,47.3499063,8.4909023
2023-07-25,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 1",R2921/15,Temperatur,Allgemeine Parameter,°C,,10.6,,Reservoir Albisrieden,47.37198385,8.472084951797266
2023-07-25,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 1",R2921/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.0,,Reservoir Albisrieden,47.37198385,8.472084951797266
2023-07-25,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 1",R2921/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,77772.0,,Reservoir Albisrieden,47.37198385,8.472084951797266
2023-07-25,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 2",R2922/15,Temperatur,Allgemeine Parameter,°C,,9.7,,Reservoir Albisrieden,47.37198385,8.472084951797266
2023-07-25,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 2",R2922/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.1,,Reservoir Albisrieden,47.37198385,8.472084951797266
2023-07-25,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 2",R2922/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,67239.0,,Reservoir Albisrieden,47.37198385,8.472084951797266
2023-07-25,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 1",R3021/15,Temperatur,Allgemeine Parameter,°C,,8.6,,Reservoir Waldegg/GALM,,
2023-07-25,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 1",R3021/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.8,,Reservoir Waldegg/GALM,,
2023-07-25,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 1",R3021/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,55189.0,,Reservoir Waldegg/GALM,,
2023-07-25,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 2",R3022/15,Temperatur,Allgemeine Parameter,°C,,8.6,,Reservoir Waldegg/GALM,,
2023-07-25,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 2",R3022/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.0,,Reservoir Waldegg/GALM,,
2023-07-25,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 2",R3022/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,54328.0,,Reservoir Waldegg/GALM,,
2023-07-25,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 1",R3221/15,Temperatur,Allgemeine Parameter,°C,,8.6,,Reservoir Lyren,47.37964805,8.472921427503902
2023-07-25,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 1",R3221/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.9,,Reservoir Lyren,47.37964805,8.472921427503902
2023-07-25,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 1",R3221/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,66794.0,,Reservoir Lyren,47.37964805,8.472921427503902
2023-07-25,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 2",R3222/15,Temperatur,Allgemeine Parameter,°C,,8.5,,Reservoir Lyren,47.37964805,8.472921427503902
2023-07-25,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 2",R3222/15,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.1,,Reservoir Lyren,47.37964805,8.472921427503902
2023-07-25,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 2",R3222/15,Intaktzellzahl,Biologische Parameter,Zellen/mL,500.0,53178.0,,Reservoir Lyren,47.37964805,8.472921427503902
2023-08-08,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,Temperatur,Allgemeine Parameter,°C,,10.6,,Reservoir Höngg,,
2023-08-08,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,4.0,300.0,Reservoir Höngg,,
2023-08-08,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 1",R3721/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Höngg,,
2023-08-08,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,Temperatur,Allgemeine Parameter,°C,,10.7,,Reservoir Höngg,,
2023-08-08,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,4.0,300.0,Reservoir Höngg,,
2023-08-08,Reservoire,Limmatzone,"Reservoir Höngg, Auslauf Kammer 2",R3722/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Höngg,,
2023-08-08,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,Temperatur,Allgemeine Parameter,°C,,11.8,,Reservoir Waidberg,47.40290225,8.51402519217839
2023-08-08,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,5.0,300.0,Reservoir Waidberg,47.40290225,8.51402519217839
2023-08-08,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 1",R3821/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Waidberg,47.40290225,8.51402519217839
2023-08-08,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,Temperatur,Allgemeine Parameter,°C,,12.1,,Reservoir Waidberg,47.40290225,8.51402519217839
2023-08-08,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,3.0,300.0,Reservoir Waidberg,47.40290225,8.51402519217839
2023-08-08,Reservoire,Bergzone Waidberg,"Reservoir Waidberg, Auslauf Kammer 2",R3822/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Waidberg,47.40290225,8.51402519217839
2023-08-08,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,Temperatur,Allgemeine Parameter,°C,,11.6,,Reservoir Käferberg,47.4036605,8.52299175722067
2023-08-08,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,3.0,300.0,Reservoir Käferberg,47.4036605,8.52299175722067
2023-08-08,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 1",R4124/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Käferberg,47.4036605,8.52299175722067
2023-08-08,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,Temperatur,Allgemeine Parameter,°C,,11.6,,Reservoir Käferberg,47.4036605,8.52299175722067
2023-08-08,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,3.0,300.0,Reservoir Käferberg,47.4036605,8.52299175722067
2023-08-08,Reservoire,Glattzone,"Reservoir Käferberg, Auslauf Kammer 2",R4125/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Käferberg,47.4036605,8.52299175722067
2023-08-08,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 1",R4221/15,Temperatur,Allgemeine Parameter,°C,,11.8,,Reservoir Glaubten,47.407548950000006,8.521892994503235
2023-08-08,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 1",R4221/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,9.0,300.0,Reservoir Glaubten,47.407548950000006,8.521892994503235
2023-08-08,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 1",R4221/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Glaubten,47.407548950000006,8.521892994503235
2023-08-08,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 2",R4222/15,Temperatur,Allgemeine Parameter,°C,,11.7,,Reservoir Glaubten,47.407548950000006,8.521892994503235
2023-08-08,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 2",R4222/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,18.0,300.0,Reservoir Glaubten,47.407548950000006,8.521892994503235
2023-08-08,Reservoire,Glattzone,"Reservoir Glaubten, Auslauf Kammer 2",R4222/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Glaubten,47.407548950000006,8.521892994503235
2023-08-08,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 1",R4621/15,Temperatur,Allgemeine Parameter,°C,,11.8,,Reservoir Strickhof,,
2023-08-08,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 1",R4621/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,15.0,300.0,Reservoir Strickhof,,
2023-08-08,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 1",R4621/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Strickhof,,
2023-08-08,Reservoire,Hangzone,"Reservoir Strickhof, Einlauf Stollen in Kammer 2",R4622/02,Temperatur,Allgemeine Parameter,°C,,11.9,,Reservoir Strickhof,,
2023-08-08,Reservoire,Hangzone,"Reservoir Strickhof, Einlauf Stollen in Kammer 2",R4622/02,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,15.0,300.0,Reservoir Strickhof,,
2023-08-08,Reservoire,Hangzone,"Reservoir Strickhof, Einlauf Stollen in Kammer 2",R4622/02,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Strickhof,,
2023-08-08,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,Temperatur,Allgemeine Parameter,°C,,11.8,,Reservoir Strickhof,,
2023-08-08,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,32.0,300.0,Reservoir Strickhof,,
2023-08-08,Reservoire,Hangzone,"Reservoir Strickhof, Auslauf Kammer 2",R4622/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Strickhof,,
2023-08-08,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,Temperatur,Allgemeine Parameter,°C,,11.0,,Reservoir Orelli,47.3833732,8.569329450000001
2023-08-08,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,4.0,300.0,Reservoir Orelli,47.3833732,8.569329450000001
2023-08-08,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 1",R5231/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Orelli,47.3833732,8.569329450000001
2023-08-08,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,Temperatur,Allgemeine Parameter,°C,,10.8,,Reservoir Orelli,47.3833732,8.569329450000001
2023-08-08,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,4.0,300.0,Reservoir Orelli,47.3833732,8.569329450000001
2023-08-08,Reservoire,Bergzone Orelli,"Reservoir Orelli, Auslauf Kammer 2",R5232/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Orelli,47.3833732,8.569329450000001
2023-08-08,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,Temperatur,Allgemeine Parameter,°C,,9.9,,Reservoir Looren,47.369780649999996,8.58867465
2023-08-08,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,4.0,300.0,Reservoir Looren,47.369780649999996,8.58867465
2023-08-08,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 1",R5321/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Looren,47.369780649999996,8.58867465
2023-08-08,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,Temperatur,Allgemeine Parameter,°C,,10.1,,Reservoir Looren,47.369780649999996,8.58867465
2023-08-08,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,6.0,300.0,Reservoir Looren,47.369780649999996,8.58867465
2023-08-08,Reservoire,Gipfelzone Looren,"Reservoir Looren, Auslauf Kammer 2",R5322/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Looren,47.369780649999996,8.58867465
2023-08-08,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,Temperatur,Allgemeine Parameter,°C,,10.3,,Reservoir Sonnenberg,,
2023-08-08,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,17.0,300.0,Reservoir Sonnenberg,,
2023-08-08,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 1",R5421/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Sonnenberg,,
2023-08-08,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,Temperatur,Allgemeine Parameter,°C,,9.7,,Reservoir Sonnenberg,,
2023-08-08,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,11.0,300.0,Reservoir Sonnenberg,,
2023-08-08,Reservoire,Hangzone,"Reservoir Sonnenberg, Auslauf Kammer 2",R5422/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Sonnenberg,,
2023-08-08,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 1",R5621/15,Temperatur,Allgemeine Parameter,°C,,14.3,,Reservoir Witikon,,
2023-08-08,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 1",R5621/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,10.0,300.0,Reservoir Witikon,,
2023-08-08,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 1",R5621/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Witikon,,
2023-08-08,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 2",R5622/15,Temperatur,Allgemeine Parameter,°C,,14.8,,Reservoir Witikon,,
2023-08-08,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 2",R5622/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,8.0,300.0,Reservoir Witikon,,
2023-08-08,Reservoire,Bergzone Witikon,"Reservoir Witikon, Auslauf Kammer 2",R5622/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Witikon,,
2023-08-15,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 1",R2221/15,Temperatur,Allgemeine Parameter,°C,,12.2,,Reservoir Ris,47.323431,8.503036057497177
2023-08-15,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 1",R2221/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,5.0,300.0,Reservoir Ris,47.323431,8.503036057497177
2023-08-15,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 1",R2221/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Ris,47.323431,8.503036057497177
2023-08-15,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 2",R2222/15,Temperatur,Allgemeine Parameter,°C,,12.1,,Reservoir Ris,47.323431,8.503036057497177
2023-08-15,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 2",R2222/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,8.0,300.0,Reservoir Ris,47.323431,8.503036057497177
2023-08-15,Reservoire,Bergzone Ris,"Reservoir Ris, Auslauf Kammer 2",R2222/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Ris,47.323431,8.503036057497177
2023-08-15,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 1",R2321/15,Temperatur,Allgemeine Parameter,°C,,11.4,,Reservoir Leimbach,47.325221799999994,8.507085680776362
2023-08-15,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 1",R2321/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,3.0,300.0,Reservoir Leimbach,47.325221799999994,8.507085680776362
2023-08-15,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 1",R2321/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Leimbach,47.325221799999994,8.507085680776362
2023-08-15,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 2",R2322/15,Temperatur,Allgemeine Parameter,°C,,11.3,,Reservoir Leimbach,47.325221799999994,8.507085680776362
2023-08-15,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 2",R2322/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,4.0,300.0,Reservoir Leimbach,47.325221799999994,8.507085680776362
2023-08-15,Reservoire,Hangzone,"Reservoir Leimbach, Auslauf Kammer 2",R2322/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Leimbach,47.325221799999994,8.507085680776362
2023-08-15,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 2",R2522/15,Temperatur,Allgemeine Parameter,°C,,9.1,,Reservoir Frauental,,
2023-08-15,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 2",R2522/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,,300.0,Reservoir Frauental,,
2023-08-15,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 2",R2522/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Frauental,,
2023-08-15,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 3",R2523/15,Temperatur,Allgemeine Parameter,°C,,9.0,,Reservoir Frauental,,
2023-08-15,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 3",R2523/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,2.0,300.0,Reservoir Frauental,,
2023-08-15,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 3",R2523/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Frauental,,
2023-08-15,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 4",R2524/15,Temperatur,Allgemeine Parameter,°C,,9.4,,Reservoir Frauental,,
2023-08-15,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 4",R2524/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,3.0,300.0,Reservoir Frauental,,
2023-08-15,Reservoire,Limmatzone,"Reservoir Frauental, Auslauf Kammer 4",R2524/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Frauental,,
2023-08-15,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 1",R2621/15,Temperatur,Allgemeine Parameter,°C,,10.8,,Reservoir Friesenberg,,
2023-08-15,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 1",R2621/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,2.0,300.0,Reservoir Friesenberg,,
2023-08-15,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 1",R2621/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Friesenberg,,
2023-08-15,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 2",R2622/15,Temperatur,Allgemeine Parameter,°C,,11.0,,Reservoir Friesenberg,,
2023-08-15,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 2",R2622/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,1.0,300.0,Reservoir Friesenberg,,
2023-08-15,Reservoire,Bergzone Friesenberg,"Reservoir Friesenberg, Auslauf Kammer 2",R2622/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Friesenberg,,
2023-08-15,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 1",R2721/15,Temperatur,Allgemeine Parameter,°C,,14.6,,Reservoir Uetliberg,47.3499063,8.4909023
2023-08-15,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 1",R2721/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,9.0,300.0,Reservoir Uetliberg,47.3499063,8.4909023
2023-08-15,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 1",R2721/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Uetliberg,47.3499063,8.4909023
2023-08-15,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 2",R2722/15,Temperatur,Allgemeine Parameter,°C,,14.5,,Reservoir Uetliberg,47.3499063,8.4909023
2023-08-15,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 2",R2722/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,9.0,300.0,Reservoir Uetliberg,47.3499063,8.4909023
2023-08-15,Reservoire,Gipfelzone Uetliberg,"Reservoir Uetliberg, Auslauf Kammer 2",R2722/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Uetliberg,47.3499063,8.4909023
2023-08-15,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 1",R2921/15,Temperatur,Allgemeine Parameter,°C,,9.5,,Reservoir Albisrieden,47.37198385,8.472084951797266
2023-08-15,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 1",R2921/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,5.0,300.0,Reservoir Albisrieden,47.37198385,8.472084951797266
2023-08-15,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 1",R2921/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Albisrieden,47.37198385,8.472084951797266
2023-08-15,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 2",R2922/15,Temperatur,Allgemeine Parameter,°C,,9.2,,Reservoir Albisrieden,47.37198385,8.472084951797266
2023-08-15,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 2",R2922/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,13.0,300.0,Reservoir Albisrieden,47.37198385,8.472084951797266
2023-08-15,Reservoire,Hangzone,"Reservoir Albisrieden, Auslauf Kammer 2",R2922/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Albisrieden,47.37198385,8.472084951797266
2023-08-15,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 1",R3021/15,Temperatur,Allgemeine Parameter,°C,,8.6,,Reservoir Waldegg/GALM,,
2023-08-15,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 1",R3021/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,7.0,300.0,Reservoir Waldegg/GALM,,
2023-08-15,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 1",R3021/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Waldegg/GALM,,
2023-08-15,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 2",R3022/15,Temperatur,Allgemeine Parameter,°C,,8.7,,Reservoir Waldegg/GALM,,
2023-08-15,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 2",R3022/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,6.0,300.0,Reservoir Waldegg/GALM,,
2023-08-15,Reservoire,Bergzone Albisriederberg,"Reservoir Waldegg/GALM, Auslauf Kammer 2",R3022/15,Enterokokken,Biologische Parameter,KbE/100 mL,1.0,,0.0,Reservoir Waldegg/GALM,,
2023-08-15,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 1",R3221/15,Temperatur,Allgemeine Parameter,°C,,8.7,,Reservoir Lyren,47.37964805,8.472921427503902
2023-08-15,Reservoire,Limmatzone,"Reservoir Lyren, Auslauf Kammer 1",R3221/15,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1.0,4.0,300.0,Reservoir Lyren,47.37964805,8.472921427503902
