Datum,Standort,Kurzbezeichnung,Parameter,Parametergruppe,Einheit,Bestimmungsgrenze_Nachweisgrenze,Messwert,Richtwert,Höchstwert,CleanedName,lat,lon
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Lithium,Metalle und weitere Elemente,µg/L,1.0,2.3,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Mangan,Metalle und weitere Elemente,µg/L,0.5,,,50.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Molybdän,Metalle und weitere Elemente,µg/L,0.5,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Natrium,Metalle und weitere Elemente,mg/L,0.7,7.1,,200.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Nickel,Metalle und weitere Elemente,µg/L,0.5,,,20.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Quecksilber,Metalle und weitere Elemente,µg/L,0.009,,,1.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Selen,Metalle und weitere Elemente,µg/L,1.0,,,10.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Silber,Metalle und weitere Elemente,µg/L,0.5,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Strontium,Metalle und weitere Elemente,mg/L,0.2,0.3,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Thallium,Metalle und weitere Elemente,µg/L,0.5,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Titan,Metalle und weitere Elemente,µg/L,5.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Uran,Metalle und weitere Elemente,µg/L,0.5,0.5,,30.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Vanadium,Metalle und weitere Elemente,µg/L,0.5,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Zink,Metalle und weitere Elemente,µg/L,5.0,,,5000.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Zinn,Metalle und weitere Elemente,µg/L,1.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,NDEA (N-Nitrosodiethylamin),Nitrosamine,ng/L,6.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,NDMA (N-Nitrosodimethylamin),Nitrosamine,ng/L,2.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,NDPA (N-Nitrosodipropylamin),Nitrosamine,ng/L,2.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,NMEA (N-Nitrosomethylethylamin),Nitrosamine,ng/L,2.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,NMOR (N-Nitrosomorpholin),Nitrosamine,ng/L,2.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,NPIP (N-Nitrosopiperidin),Nitrosamine,ng/L,2.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,NPYR (N-Nitrosopyrrolidin),Nitrosamine,ng/L,2.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,4:2 FTS (4:2 Fluortelomersulfonsäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,1.5,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,6:2 FTS (6:2 Fluortelomersulfonsäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,3.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,8:2 FTS (8:2 Fluortelomersulfonsäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,3.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,"DONA (Perfluor-4,8-dioxa-3H-nonansäure)",Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,0.5,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,F-53B major (9Cl-PF3ONS),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,4.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,F-53B minor (11Cl-PF3OUnDS),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,1.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
